Antibody,Virus,IC50,IC80,ID50
3BNC117,CAP291_2_00_H2_15,0.095,,
3BNC117,CAP291_2_00_H2_15,0.095,0.41,
3BNC117,CAP292_2_00_12_4,0.106,,
3BNC117,CAP292_2_00_12_4,0.106,0.502,
3BNC117,CAP301_2_00_C3_20,0.235,,
3BNC117,CAP301_2_00_C3_20,0.235,0.85,
3BNC117,CAP304_2_00_F6_6,1.282,,
3BNC117,CAP304_2_00_F6_6,1.282,>20,
3BNC117,CAP306_2_00_F9_1,0.394,,
3BNC117,CAP306_2_00_F9_1,0.394,3.936,
3BNC117,CAP307_2_00_24_1,0.125,,
3BNC117,CAP307_2_00_24_1,0.125,0.556,
3BNC117,CAP310_2_00_20_2,6.094,,
3BNC117,CAP310_2_00_20_2,6.094,>20,
3BNC117,CAP323_2_00_B6_45,0.141,,
3BNC117,CAP323_2_00_B6_45,0.141,0.714,
3BNC117,CAP326_2_00_D9_2,0.341,,
3BNC117,CAP326_2_00_D9_2,0.341,1.266,
3BNC117,CAP327_2_00_C6_37,0.09,,
3BNC117,CAP327_2_00_C6_37,0.09,0.299,
3BNC117,CAP332_2_00_C10_1,0.389,,
3BNC117,CAP332_2_00_C10_1,0.389,1.377,
3BNC117,CAP340_2_00_B3_16,0.237,,
3BNC117,CAP340_2_00_B3_16,0.237,16.264,
3BNC117,CAP341_2_00_C10_18,0.065,,
3BNC117,CAP341_2_00_C10_18,0.065,0.279,
3BNC117,CAP343_2_00_21_2,0.106,,
3BNC117,CAP343_2_00_21_2,0.106,0.505,
3BNC117,CAP347_2_00_B1_1,0.026,,
3BNC117,CAP347_2_00_B1_1,0.026,0.096,
3BNC117,CAP363_2_00_10_3,0.286,,
3BNC117,CAP363_2_00_10_3,0.286,1.502,
3BNC117,CAP37_1_18_D2_19,19.505,,
3BNC117,CAP37_1_18_D2_19,19.505,>20,
3BNC117,CAP40_2_01_A3_5,6.24,,
3BNC117,CAP40_2_01_A3_5,6.24,>20,
3BNC117,CAP45_G3,1.399,,
3BNC117,CAP45_G3,0.589,,
3BNC117,CAP45_G3,3.88,,
3BNC117,CAP45_G3,0.589,,
3BNC117,CAP45_G3,3.88,,
3BNC117,CAP45_G3,0.589,,
3BNC117,CAP45_G3,16,,
3BNC117,CAP45_G3,0.59,,
3BNC117,CAP45_G3,3.608058,,
3BNC117,CAP45_G3,0.589,32.1,
3BNC117,CAP45_G3,0.589,,
3BNC117,CAP45_G3,0.589,,
3BNC117,CAP45_G3,0.589,32.1,
3BNC117,CAP45_G3,1.93,7.08,
3BNC117,CAP45_G3,0.782,3.95,
3BNC117,CAP45_G3,3.88,>50,
3BNC117,CAP45_G3,1.7,,
3BNC117,CAP45_G3,3.88,>50,
3BNC117,CAP45_G3,1.81,8.05,
3BNC117,CAP61_F10A,0.11,,
3BNC117,CAP63_A9,0.26,,
3BNC117,CAP84_32,0.085,,
3BNC117,CAP85_09,1.7,,
3BNC117,CAP88_6M_C10,0.6031985,,
3BNC117,CAP88_B5,0.82,,
3BNC117,CE0089_G2,0.109,,
3BNC117,CE0089_G2,0.109,0.521,
3BNC117,CE0393_C3,0.2,,
3BNC117,CE0393_C3,0.2,,
3BNC117,CE0393_C3,0.2,,
3BNC117,CE0393_C3,0.208,0.624,
3BNC117,CE0393_C3,0.2,0.67,
3BNC117,CE0393_C3,0.2,0.67,
3BNC117,CE0665_F2,0.125,,
3BNC117,CE0665_F2,0.125,0.5,
3BNC117,CE0682_E4,0.03,,
3BNC117,CE0682_E4,0.03,,
3BNC117,CE0682_E4,0.03,,
3BNC117,CE0682_E4,0.041,0.105,
3BNC117,CE0682_E4,0.03,0.15,
3BNC117,CE0682_E4,0.03,0.15,
3BNC117,CE1086_B2,0.09,,
3BNC117,CE1086_B2,0.09,,
3BNC117,CE1086_B2,0.09,,
3BNC117,CE1086_B2,0.035,0.139,
3BNC117,CE1086_B2,0.09,0.31,
3BNC117,CE1086_B2,0.09,0.31,
3BNC117,CE1176_A3,0.22,,
3BNC117,CE1176_A3,0.22,,
3BNC117,CE1176_A3,0.22,,
3BNC117,CE1176_A3,0.202,,
3BNC117,CE1176_A3,0.182,0.504,
3BNC117,CE1176_A3,0.16,0.412,
3BNC117,CE1176_A3,0.63,,
3BNC117,CE1176_A3,0.128,,
3BNC117,CE1176_A3,0.22,0.75,
3BNC117,CE1176_A3,0.22,0.75,
3BNC117,CE1176_A3,0.14,0.42,
3BNC117,CE1176_A3,0.5785,,
3BNC117,CE1176_A3,0.453,1.3,
3BNC117,CE2010_F5,0.05,,
3BNC117,CE2010_F5,0.05,,
3BNC117,CE2010_F5,0.05,,
3BNC117,CE2010_F5,0.07,0.239,
3BNC117,CE2010_F5,0.05,0.21,
3BNC117,CE2010_F5,0.05,0.21,
3BNC117,CE2052_G10,0.048,,
3BNC117,CE2052_G10,0.048,0.131,
3BNC117,CE2060_G9,0.24,,
3BNC117,CE2060_G9,0.24,,
3BNC117,CE2060_G9,0.24,,
3BNC117,CE2060_G9,0.152,0.549,
3BNC117,CE2060_G9,0.24,0.81,
3BNC117,CE2060_G9,0.24,0.81,
3BNC117,CH0694,0.647,,
3BNC117,CH0694,0.647,5.333,
3BNC117,CH070_1,7.89,,
3BNC117,CH070_1,7.89,,
3BNC117,CH070_1,7.89,,
3BNC117,CH070_1,7.89,50,
3BNC117,CH070_1,7.89,,
3BNC117,CH070_1,7.89,>50,
3BNC117,CH070_1,6.43,>50,
3BNC117,CH070_1,10.8,>50,
3BNC117,CH117_4,0.663,,
3BNC117,CH117_4,0.663,,
3BNC117,CH117_4,0.663,,
3BNC117,CH117_4,0.663,,
3BNC117,CH117_4,0.663,15.8,
3BNC117,CH117_4,1.92,18.3,
3BNC117,CH117_4,3.46,>50,
3BNC117,CH119_10,1.726,,
3BNC117,CH119_10,6.97,>25,
3BNC117,CH119_10,2.94,27.8,
3BNC117,CH119_10,9.968,,
3BNC117,CH119_10,5.57,25.92,
3BNC117,CH119_10,4.4,>50,
3BNC117,CH181_12,0.124,,
3BNC117,CH181_12,0.124,,
3BNC117,CH181_12,0.124,,
3BNC117,CH181_12,0.124,,
3BNC117,CH181_12,0.124,0.414,
3BNC117,CH181_12,0.117,0.352,
3BNC117,CH181_12,0.113,0.337,
3BNC117,CH505_TF,0.03,,
3BNC117,CH505_TF_DELGLY3_197,0.005,,
3BNC117,CH505_TF_DELGLY3_276,0.001,,
3BNC117,CH505_TF_DELGLY3_461,0.002,,
3BNC117,CH505_TF_DELGLY4,0.001,,
3BNC117,CH505_W4_3,0.011,,
3BNC117,CH505_W4_3,0.02,,
3BNC117,CH505_W4_3,0.011,0.034,
3BNC117,CM235_2,0.1,,
3BNC117,CM244_90TH,0.98,,
3BNC117,CM244_EC1,0.039,0.129,
3BNC117,CM244_EC1,0.091,0.245,
3BNC117,CNE10,0.05,,
3BNC117,CNE10,0.05,,
3BNC117,CNE10,0.05,,
3BNC117,CNE10,0.05,,
3BNC117,CNE10,0.05,0.232,
3BNC117,CNE10,0.09,0.227,
3BNC117,CNE10,0.096,0.261,
3BNC117,CNE12,0.085,,
3BNC117,CNE12,0.085,,
3BNC117,CNE12,0.085,,
3BNC117,CNE12,0.036,,
3BNC117,CNE12,0.085,,
3BNC117,CNE12,0.085,0.253,
3BNC117,CNE12,0.061,0.163,
3BNC117,CNE12,0.06,0.167,
3BNC117,CNE14,0.024,,
3BNC117,CNE14,0.024,,
3BNC117,CNE14,0.024,,
3BNC117,CNE14,0.038,,
3BNC117,CNE14,0.024,,
3BNC117,CNE14,0.024,0.096,
3BNC117,CNE14,0.026,0.07,
3BNC117,CNE14,0.027,0.072,
3BNC117,CNE17,5.76,,
3BNC117,CNE17,5.76,,
3BNC117,CNE17,3.53,20.7,
3BNC117,CNE17,5.76,42.98,
3BNC117,CNE19,0.02,,
3BNC117,CNE19,0.02,,
3BNC117,CNE19,0.031,0.13,
3BNC117,CNE19,0.031,0.092,
3BNC117,CNE19,0.02,0.08,
3BNC117,CNE19,0.03,0.117,
3BNC117,CNE21,45.38,,
3BNC117,CNE21,8,>25,
3BNC117,CNE21,5.28,>50,
3BNC117,CNE21,45.38,>50,
3BNC117,CNE21,9.87,>50,
3BNC117,CNE3,0.125,,
3BNC117,CNE3,0.125,,
3BNC117,CNE3,0.125,,
3BNC117,CNE3,0.13,,
3BNC117,CNE3,0.125,,
3BNC117,CNE3,0.125,0.43,
3BNC117,CNE3,0.105,0.356,
3BNC117,CNE3,0.134,0.421,
3BNC117,CNE30,0.28,,
3BNC117,CNE30,0.616,2.152,
3BNC117,CNE30,0.291,,
3BNC117,CNE30,0.291,,
3BNC117,CNE30,0.26,,
3BNC117,CNE30,0.291,,
3BNC117,CNE30,0.291,,
3BNC117,CNE30,0.291,1.05,
3BNC117,CNE30,0.437,1.09,
3BNC117,CNE30,0.315,0.812,
3BNC117,CNE30,0.26,0.85,
3BNC117,CNE30,0.356,0.925,
3BNC117,CNE31,9.95,,
3BNC117,CNE31,9.95,,
3BNC117,CNE31,9.95,,
3BNC117,CNE31,9.95,,
3BNC117,CNE31,9.95,>50,
3BNC117,CNE31,4.59,>50,
3BNC117,CNE31,7.2,>50,
3BNC117,CNE4,0.113,,
3BNC117,CNE4,0.113,,
3BNC117,CNE4,0.113,,
3BNC117,CNE4,0.13,,
3BNC117,CNE4,0.113,,
3BNC117,CNE4,0.113,0.481,
3BNC117,CNE4,0.13,0.411,
3BNC117,CNE4,0.15,0.482,
3BNC117,CNE40,0.116,,
3BNC117,CNE40,0.116,,
3BNC117,CNE40,0.116,,
3BNC117,CNE40,0.02084321,,
3BNC117,CNE40,0.116,,
3BNC117,CNE40,0.116,0.495,
3BNC117,CNE40,0.148,0.653,
3BNC117,CNE40,0.508,,
3BNC117,CNE40,0.19,0.899,
3BNC117,CNE5,0.347,,
3BNC117,CNE5,0.386,,
3BNC117,CNE5,0.386,,
3BNC117,CNE5,0.28,,
3BNC117,CNE5,0.386,,
3BNC117,CNE5,1.149614,,
3BNC117,CNE5,0.386,,
3BNC117,CNE5,0.386,1.34,
3BNC117,CNE5,0.298,1.04,
3BNC117,CNE5,0.18,0.73,
3BNC117,CNE5,0.28,1.28,
3BNC117,CNE5,0.165,0.821,
3BNC117,CNE52,0.02,,
3BNC117,CNE52,0.02,,
3BNC117,CNE52,0.05,0.14,
3BNC117,CNE52,0.02,0.06,
3BNC117,CNE53,0.059,,
3BNC117,CNE53,0.051,,
3BNC117,CNE53,0.051,,
3BNC117,CNE53,0.08,,
3BNC117,CNE53,0.051,,
3BNC117,CNE53,0.051,,
3BNC117,CNE53,0.051,0.327,
3BNC117,CNE53,0.129,0.818,
3BNC117,CNE53,0.106,0.39,
3BNC117,CNE53,0.08,0.99,
3BNC117,CNE53,0.109,0.669,
3BNC117,CNE55,0.147,,
3BNC117,CNE55,0.147,,
3BNC117,CNE55,0.147,,
3BNC117,CNE55,0.19,,
3BNC117,CNE55,0.147,,
3BNC117,CNE55,0.147,0.53,
3BNC117,CNE55,0.105,0.316,
3BNC117,CNE55,0.101,0.253,
3BNC117,CNE55,0.055,,
3BNC117,CNE55,0.1,,
3BNC117,CNE55,0.1,0.23,
3BNC117,CNE55,0.079,0.255,
3BNC117,CNE56,0.075,,
3BNC117,CNE56,0.075,,
3BNC117,CNE56,0.075,,
3BNC117,CNE56,0.075,,
3BNC117,CNE56,0.075,0.355,
3BNC117,CNE56,0.072,0.213,
3BNC117,CNE56,0.075,0.292,
3BNC117,CNE57,0.066,,
3BNC117,CNE57,0.066,,
3BNC117,CNE57,0.066,,
3BNC117,CNE57,0.89,,
3BNC117,CNE57,0.066,,
3BNC117,CNE57,0.066,0.202,
3BNC117,CNE57,0.103,0.247,
3BNC117,CNE57,0.11,0.314,
3BNC117,CNE58,0.336,,
3BNC117,CNE58,0.389,,
3BNC117,CNE58,0.389,,
3BNC117,CNE58,0.25,,
3BNC117,CNE58,0.389,,
3BNC117,CNE58,0.389,,
3BNC117,CNE58,0.389,1.41,
3BNC117,CNE58,0.437,2.1,
3BNC117,CNE58,0.538,4.97,
3BNC117,CNE58,0.25,2.03,
3BNC117,CNE58,0.658,3.09,
3BNC117,CNE59,0.043,,
3BNC117,CNE59,0.043,,
3BNC117,CNE59,0.043,,
3BNC117,CNE59,0.2142359,,
3BNC117,CNE59,0.043,,
3BNC117,CNE59,0.043,0.573,
3BNC117,CNE59,0.127,0.374,
3BNC117,CNE59,0.11,0.428,
3BNC117,CNE8,0.026,,
3BNC117,CNE8,0.152,0.412,
3BNC117,CNE8,0.075,0.237,
3BNC117,CNE8,0.16,0.48,
3BNC117,CNE8,0.076,0.264,
3BNC117,CON_01_AE_2010S,0.339,1.221,
3BNC117,CON_01_AE_2010S_RE1,0.482,1.707,
3BNC117,CON_01_AE_2010S_RE2,0.831,2.228,
3BNC117,CON_B_2010S,0.022,0.057,
3BNC117,CON_B_2010S_RE,0.113,0.243,
3BNC117,CON_C,0.052,,
3BNC117,CON_C_2010S,0.268,0.711,
3BNC117,CON_C_2010S_RE,0.111,0.198,
3BNC117,CON_S_LIAO2006,0.25,,
3BNC117,CT072_56_7,0.014,,
3BNC117,CT072_56_7,0.014,0.037,
3BNC117,CT140_140_B6,0.126,,
3BNC117,CT140_140_B6,0.126,0.537,
3BNC117,CT184_D3_15,0.133,,
3BNC117,CT184_D3_15,0.133,0.925,
3BNC117,CT349_39_16,0.039,,
3BNC117,CT349_39_16,0.039,0.127,
3BNC117,CT431_G6_6,2.517,,
3BNC117,CT431_G6_6,2.517,16.381,
3BNC117,CT533_T23B_36,0.049,0.224,
3BNC117,CT810_G4_7,1.191,,
3BNC117,CT810_G4_7,1.191,8.124,
3BNC117,CT823_B6_1,0.101,,
3BNC117,CT823_B6_1,0.101,0.479,
3BNC117,CT885_H3_2,0.104,,
3BNC117,CT885_H3_2,0.104,0.456,
3BNC117,CT966_E1_7,0.2,,
3BNC117,CT966_E1_7,0.2,0.702,
3BNC117,CT977_69_12,0.064,,
3BNC117,CT977_69_12,0.064,0.211,
3BNC117,DJ263_8,0.025,,
3BNC117,DJ263_8,0.025,,
3BNC117,DJ263_8,0.025,,
3BNC117,DJ263_8,0.025,,
3BNC117,DJ263_8,0.025,,
3BNC117,DJ263_8,0.025,0.133,
3BNC117,DJ263_8,0.029,0.117,
3BNC117,DJ263_8,0.031,0.103,
3BNC117,DU123_06,0.183,,
3BNC117,DU123_06,0.183,,
3BNC117,DU123_06,0.183,,
3BNC117,DU123_06,0.183,1.17,
3BNC117,DU123_06,0.183,,
3BNC117,DU123_06,0.183,,
3BNC117,DU123_06,0.183,1.77,
3BNC117,DU123_06,0.464,1.85,
3BNC117,DU123_06,0.49,1.6,
3BNC117,DU156_12,0.032,,
3BNC117,DU156_12,0.035,,
3BNC117,DU156_12,0.02,,
3BNC117,DU156_12,0.035,,
3BNC117,DU156_12,0.02,,
3BNC117,DU156_12,0.035,,
3BNC117,DU156_12,0.02,,
3BNC117,DU156_12,0.04,,
3BNC117,DU156_12,0.06122121,,
3BNC117,DU156_12,0.035,,
3BNC117,DU156_12,0.035,,
3BNC117,DU156_12,0.035,0.121,
3BNC117,DU156_12,0.062,0.189,
3BNC117,DU156_12,0.047,0.13,
3BNC117,DU156_12,0.02,0.08,
3BNC117,DU156_12,0.056,,
3BNC117,DU156_12,0.02,0.08,
3BNC117,DU156_12,0.062,0.147,
3BNC117,DU172_17,0.263,,
3BNC117,DU172_17,0.289,,
3BNC117,DU172_17,1.19,,
3BNC117,DU172_17,0.289,,
3BNC117,DU172_17,1.19,,
3BNC117,DU172_17,0.289,,
3BNC117,DU172_17,0.04,,
3BNC117,DU172_17,0.29,,
3BNC117,DU172_17,1.19,2.46,
3BNC117,DU172_17,0.289,,
3BNC117,DU172_17,0.289,,
3BNC117,DU172_17,0.289,2.46,
3BNC117,DU172_17,0.302,1.83,
3BNC117,DU172_17,0.334,1.44,
3BNC117,DU172_17,0.546,,
3BNC117,DU172_17,1.19,8.9,
3BNC117,DU172_17,0.68,,
3BNC117,DU172_17,1.19,8.9,
3BNC117,DU172_17,0.6,3.14,
3BNC117,E08364M4_EC3,0.446,2.352,
3BNC117,FR_1997_51,0.15,,
3BNC117,FR_1999_46,0.11,,
3BNC117,FR_2000_45,0.16,,
3BNC117,FR_2001_47,0.04,,
3BNC117,FR_2001_49,0.14,,
3BNC117,FR_2001_50,0.02,,
3BNC117,FR_2001_54,0.41,,
3BNC117,FR_2001_56,0.04,,
3BNC117,FR_2002_41,0.04,,
3BNC117,FR_2008_66,0.14,,
3BNC117,FR_2008_67,0.09,,
3BNC117,FR_2009_64,0.02,,
3BNC117,FR_2009_71,1.58,,
3BNC117,FR_2009_73,0.09,,
3BNC117,FR_2009_77,0.2,,
3BNC117,FR_2010_74,0.01,,
3BNC117,FR_2011_167,1.01,,
3BNC117,FR_2012_164,0.14,,
3BNC117,FR_2012_166,0.14,,
3BNC117,FR_2012_168,0.47,,
3BNC117,FR_2012_171,1.31,,
3BNC117,FR_2012_172,0.24,,
3BNC117,FR_2012_173,0.03,,
3BNC117,FR_2012_176,0.02,,
3BNC117,FR_2012_178,0.12,,
3BNC117,FR_2012_180,0.08,,
3BNC117,FR_2012_181,0.06,,
3BNC117,HT593_1,0.229,,
3BNC117,HT593_1,0.229,,
3BNC117,HT593_1,0.229,,
3BNC117,HT593_1,0.229,,
3BNC117,HT593_1,0.229,,
3BNC117,HT593_1,0.229,0.922,
3BNC117,HT593_1,0.21,0.614,
3BNC117,HT593_1,0.204,0.562,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,,
3BNC117,HXB2,0.037,0.197,
3BNC117,HXB2,0.051,0.132,
3BNC117,HXB2,0.042,0.131,
3BNC117,IDC561_C08,0.936,,
3BNC117,IDC561_F12,3.729,,
3BNC117,IDC561_H05,0.417,,
3BNC117,JRCSF,0.028,,
3BNC117,JRCSF,0.028,,
3BNC117,JRCSF,0.028,,
3BNC117,JRCSF,0.004,,
3BNC117,JRCSF,0.02309,,
3BNC117,JRCSF,0.05987038,,
3BNC117,JRCSF,0.028,,
3BNC117,JRCSF,0.028,,
3BNC117,JRCSF,0.041,,
3BNC117,JRCSF,0.028,0.119,
3BNC117,JRCSF,0.041,0.108,
3BNC117,JRCSF,0.032,0.103,
3BNC117,JRCSF_G324A,0.08616,,
3BNC117,JRCSF_I307A,0.138,,
3BNC117,JRCSF_I309A,0.01385,,
3BNC117,JRCSF_I323A,0.06807,,
3BNC117,JRCSF_I420A,0.1922,,
3BNC117,JRCSF_I423A,0.113,,
3BNC117,JRCSF_I424A,0.07285,,
3BNC117,JRCSF_K305A,0.09028,,
3BNC117,JRCSF_K421A,0.07931,,
3BNC117,JRCSF_L125A,0.05206,,
3BNC117,JRCSF_N156A,0.07193,,
3BNC117,JRCSF_N197K,0.009496,,
3BNC117,JRCSF_N301A,0.03692,,
3BNC117,JRCSF_S199A,0.003218,,
3BNC117,JRCSF_T202A,0.08122,,
3BNC117,JRCSF_T303A,0.005865,,
3BNC117,JRCSF_Y177A,0.05874,,
3BNC117,JRCSF_Y318A,0.141,,
3BNC117,JRCSF_Y435A,0.06789,,
3BNC117,JRFL,0.003,,
3BNC117,JRFL,0.001,,
3BNC117,JRFL,0.0006,,
3BNC117,JRFL,0.003605392,,
3BNC117,JRFL,0.003,0.013,
3BNC117,JRFL,0.003,0.009,
3BNC117,JRFL,0.0006,,
3BNC117,JRFL,0.005,0.014,
3BNC117,KER2008_12,0.248,,
3BNC117,KER2008_12,0.248,,
3BNC117,KER2008_12,0.248,,
3BNC117,KER2008_12,0.25,,
3BNC117,KER2008_12,0.248,,
3BNC117,KER2008_12,0.248,,
3BNC117,KER2008_12,0.248,1.36,
3BNC117,KER2008_12,0.232,0.684,
3BNC117,KER2008_12,0.268,0.692,
3BNC117,KER2018_11,0.417,,
3BNC117,KER2018_11,0.417,,
3BNC117,KER2018_11,0.417,,
3BNC117,KER2018_11,0.42,,
3BNC117,KER2018_11,0.417,,
3BNC117,KER2018_11,0.417,,
3BNC117,KER2018_11,0.417,1.51,
3BNC117,KER2018_11,0.225,0.546,
3BNC117,KER2018_11,0.28,0.871,
3BNC117,KNH1209_18,0.04,,
3BNC117,KNH1209_18,0.04,,
3BNC117,KNH1209_18,0.04,,
3BNC117,KNH1209_18,0.04,,
3BNC117,KNH1209_18,0.04,,
3BNC117,KNH1209_18,0.04,0.159,
3BNC117,KNH1209_18,0.039,0.072,
3BNC117,KNH1209_18,0.03,0.089,
3BNC117,KO224_T87_2_4,0.047,,
3BNC117,KO224_T87_2_4,0.047,0.311,
3BNC117,KO243_H6_3,0.314,,
3BNC117,KO243_H6_3,0.314,1.421,
3BNC117,KO426_N276D,0.24,,
3BNC117,KO426_N276D_N460D_N463D,0.01,,
3BNC117,KO426_N460D_N463D,0.13,,
3BNC117,KO426_S278R_N460D_N463D_G471S,0.003,,
3BNC117,KO426_T78_10,0.107,,
3BNC117,KO426_T78_10,0.247,0.523,
3BNC117,KO426_T78_10,0.2,,
3BNC117,KO426_T78_10,0.107,0.351,
3BNC117,KO426_T78_10,0.246,0.665,
3BNC117,KO459_T68_4,0.173,,
3BNC117,KO459_T68_4,0.173,0.57,
3BNC117,KO756_38_TB12,0.019,,
3BNC117,KO756_38_TB12,0.019,0.065,
3BNC117,KO870_C2_10,0.131,,
3BNC117,KO870_C2_10,0.131,0.433,
3BNC117,M02138,0.154,,
3BNC117,M02138,0.154,,
3BNC117,M02138,0.154,,
3BNC117,M02138,0.154,,
3BNC117,M02138,0.154,,
3BNC117,M02138,0.154,0.568,
3BNC117,M02138,0.227,0.647,
3BNC117,M02138,0.309,0.842,
3BNC117,MB201_A1,0.464,,
3BNC117,MB201_A1,0.464,,
3BNC117,MB201_A1,0.464,,
3BNC117,MB201_A1,0.46,,
3BNC117,MB201_A1,0.464,,
3BNC117,MB201_A1,0.464,,
3BNC117,MB201_A1,0.464,4.97,
3BNC117,MB201_A1,0.831,4.45,
3BNC117,MB201_A1,0.692,3.88,
3BNC117,MB539_2B7,0.087,,
3BNC117,MB539_2B7,0.087,,
3BNC117,MB539_2B7,0.087,,
3BNC117,MB539_2B7,0.09,,
3BNC117,MB539_2B7,0.087,,
3BNC117,MB539_2B7,0.087,,
3BNC117,MB539_2B7,0.087,0.382,
3BNC117,MB539_2B7,0.108,0.256,
3BNC117,MB539_2B7,0.101,0.265,
3BNC117,ME067_A10_15,0.25,,
3BNC117,ME067_A10_15,0.25,1.16,
3BNC117,ME178_G6_16,0.425,,
3BNC117,ME178_G6_16,0.425,2.1,
3BNC117,MG505_W0M_A2,0.05441397,,
3BNC117,MI369_A5,0.033,,
3BNC117,MI369_A5,0.033,,
3BNC117,MI369_A5,0.033,,
3BNC117,MI369_A5,0.033,,
3BNC117,MI369_A5,0.033,,
3BNC117,MI369_A5,0.033,0.21,
3BNC117,MI369_A5,0.072,0.222,
3BNC117,MI369_A5,0.148,0.401,
3BNC117,MS208_A1,0.016,,
3BNC117,MS208_A1,0.019,,
3BNC117,MS208_A1,0.019,,
3BNC117,MS208_A1,0.01,,
3BNC117,MS208_A1,0.019,,
3BNC117,MS208_A1,0.019,,
3BNC117,MS208_A1,0.019,,
3BNC117,MS208_A1,0.019,0.118,
3BNC117,MS208_A1,0.072,0.265,
3BNC117,MS208_A1,0.055,0.18,
3BNC117,MS208_A1,0.01,0.09,
3BNC117,MS208_A1,0.01,0.09,
3BNC117,MS208_A1,0.086,0.231,
3BNC117,MUW101273A_EC02,0.13,,
3BNC117,MUW101273A_EC03,0.53,,
3BNC117,MUW101273A_EC04,0.63,,
3BNC117,MUW101273A_EC05,1.53,,
3BNC117,MUW101273A_EC06,0.21,,
3BNC117,MUW101273A_EC07,0.14,,
3BNC117,MUW101273A_ECRH,0.73,,
3BNC117,MUW101769A_EC02,9.73,,
3BNC117,MUW101769A_EC04,12.15,,
3BNC117,MUW101769A_EC05,4.52,,
3BNC117,MUW101769A_EC08,1.22,,
3BNC117,MUW101769A_EC12,7.96,,
3BNC117,MUW104349A_EC02,0.80,,
3BNC117,MUW104349A_EC03,0.69,,
3BNC117,MUW104349A_EC04,0.84,,
3BNC117,MUW104349A_EC05,0.27,,
3BNC117,MUW104349A_ECRH,1.00,,
3BNC117,MW965_26,0.005,,
3BNC117,MW965_26,0.005,,
3BNC117,MW965_26,0.005,,
3BNC117,MW965_26,0.005,,
3BNC117,MW965_26,0.005,,
3BNC117,MW965_26,0.005,0.023,
3BNC117,MW965_26,0.02,0.087,
3BNC117,MW965_26,0.026,0.1,
3BNC117,NAB13PRE_CL_9,1.228556,,
3BNC117,NAB5PRE_CL_1,0.9835542,,
3BNC117,NKU3006_EC1,0.089,,
3BNC117,NKU3006_EC1,0.089,,
3BNC117,NKU3006_EC1,0.089,,
3BNC117,NKU3006_EC1,0.089,,
3BNC117,NKU3006_EC1,0.089,0.323,
3BNC117,NKU3006_EC1,0.117,0.291,
3BNC117,NKU3006_EC1,0.108,0.368,
3BNC117,NKU3006_EC1,0.102,0.29,
3BNC117,P0402_C2_11,0.06,,
3BNC117,P0402_C2_11,0.06,,
3BNC117,P0402_C2_11,0.063,0.163,
3BNC117,P0402_C2_11,0.044,0.121,
3BNC117,P0402_C2_11,0.06,0.38,
3BNC117,P0402_C2_11,0.059,0.149,
3BNC117,P08,1.076,,
3BNC117,P1741_A2,0.313,1.051,
3BNC117,P1981_C5_3,0.74,,
3BNC117,P1981_C5_3,0.74,,
3BNC117,P1981_C5_3,0.206,1.3,
3BNC117,P1981_C5_3,0.447,1.22,
3BNC117,P1981_C5_3,0.74,3.62,
3BNC117,P1981_C5_3,0.445,1.12,
3BNC117,PVO_4,0.076,,
3BNC117,PVO_4,0.074,,
3BNC117,PVO_4,0.074,,
3BNC117,PVO_4,0.09,,
3BNC117,PVO_4,0.074,,
3BNC117,PVO_4,0.039,,
3BNC117,PVO_4,0.07,,
3BNC117,PVO_4,0.07894492,,
3BNC117,PVO_4,0.074,,
3BNC117,PVO_4,0.074,,
3BNC117,PVO_4,0.074,0.294,
3BNC117,PVO_4,0.054,0.145,
3BNC117,PVO_4,0.06,0.146,
3BNC117,PVO_4,0.072,,
3BNC117,PVO_4,0.065,0.147,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,,
3BNC117,Q168_A2,0.05,0.172,
3BNC117,Q168_A2,0.042,0.103,
3BNC117,Q168_A2,0.076,,
3BNC117,Q168_A2,0.051,0.117,
3BNC117,Q23_17,0.016,,
3BNC117,Q23_17,0.017,,
3BNC117,Q23_17,0.017,,
3BNC117,Q23_17,0.005,,
3BNC117,Q23_17,0.017,,
3BNC117,Q23_17,0.02,,
3BNC117,Q23_17,0.1015394,,
3BNC117,Q23_17,0.017,,
3BNC117,Q23_17,0.017,,
3BNC117,Q23_17,0.017,0.062,
3BNC117,Q23_17,0.016,0.048,
3BNC117,Q23_17,0.015,0.042,
3BNC117,Q23_17,0.027,,
3BNC117,Q23_17,0.01,0.02,
3BNC117,Q23_17,0.046,,
3BNC117,Q23_17,0.005,0.02,
3BNC117,Q23_17,0.016,0.042,
3BNC117,Q259_17,0.016,,
3BNC117,Q259_17,0.017,,
3BNC117,Q259_17,0.017,,
3BNC117,Q259_17,0.01,,
3BNC117,Q259_17,0.017,,
3BNC117,Q259_17,0.02,,
3BNC117,Q259_17,0.017,,
3BNC117,Q259_17,0.017,,
3BNC117,Q259_17,0.017,0.067,
3BNC117,Q259_17,0.026,0.073,
3BNC117,Q259_17,0.024,0.069,
