Antibody,Virus,IC50,IC80,ID50
0PV-c.01,6631_V3_C10,31.9,329,
0PV-c.01,89_6,16.4,135,
0PV-c.01,92BR025_9,61,292,
0PV-c.01,92RW020_2,40.6,391,
0PV-c.01,96ZM651_02,2.97,16.7,
0PV-c.01,AC10_29,14.7,97,
0PV-c.01,BAL_01,15.2,108,
0PV-c.01,BB201_B42,9.27,46,
0PV-c.01,BB539_2B13,68,275,
0PV-c.01,BG505_W6M_C2,8.33,25.9,
0PV-c.01,BG505_W6M_C2_N611Q,0.283,,
0PV-c.01,BI369_9A,2.92,24,
0PV-c.01,BJOX002000_03_2,49.8,333,
0PV-c.01,BL01,5.09,18.2,
0PV-c.01,BR07,10.5,133,
0PV-c.01,BX08_16,19,>500,
0PV-c.01,CAP210_E8,284,>500,
0PV-c.01,CE1176_A3,53,226,
0PV-c.01,CH117_4,4.47,30.4,
0PV-c.01,CH119_10,17.3,114,
0PV-c.01,CNE15,11.9,68,
0PV-c.01,CNE19,0.578,2.16,
0PV-c.01,CNE21,94,465,
0PV-c.01,CNE31,99,>500,
0PV-c.01,CNE40,6.25,31.5,
0PV-c.01,CNE57,10.5,>500,
0PV-c.01,CNE58,77,370,
0PV-c.01,DJ263_8,155,>500,
0PV-c.01,DU172_17,157,>500,
0PV-c.01,H086_8,8.36,45.7,
0PV-c.01,HXB2,2.25,6.15,
0PV-c.01,JRCSF,486,>500,
0PV-c.01,JRFL,242,>500,
0PV-c.01,KER2008_12,1.72,7.48,
0PV-c.01,KER2018_11,426,>500,
0PV-c.01,KNH1209_18,38.4,147,
0PV-c.01,KO426_T78_10,54,274,
0PV-c.01,MB201_A1,3.9,26,
0PV-c.01,MB539_2B7,58,280,
0PV-c.01,MI369_A5,19,132,
0PV-c.01,MW965_26,12,53,
0PV-c.01,Q168_A2,42.1,157,
0PV-c.01,Q23_17,18.1,72,
0PV-c.01,Q259_17,34.2,153,
0PV-c.01,Q842_D12,27.2,113,
0PV-c.01,QH209_14M_A2,24.4,84,
0PV-c.01,REJO4541_67,35.6,234,
0PV-c.01,S018_18,5.11,103,
0PV-c.01,T250_4,112,>500,
0PV-c.01,T255_34,62,>500,
0PV-c.01,TH023_6,21.5,>500,
0PV-c.01,TV1_29,24.3,114,
0PV-c.01,TZA125_17,333,>500,
0PV-c.01,ZM109_4,279,>500,
0PV-c.01,ZM135_10A,168,>500,
0PV-c.01,ZM176_66,30.6,113,
0PV-c.01,ZM214_15,160,>500,
0PV-c.01,ZM233_6,33.1,112,
0PV-c.01,ZM249_1,39.3,>500,
0PV-c.01,ZM55_28A,72,411,
0PV-d.01,BB539_2B13,122,,
0PV-d.01,BG505_W6M_C2,20.7,,
0PV-d.01,BI369_9A,9.59,,
0PV-d.01,C1080_C3,66.1,,
0PV-d.01,CNE56,133,,
10-1074,0013095_2_11,5.84,,
10-1074,0013095_2_11,5.84,,
10-1074,0013095_2_11,4.22,>50,
10-1074,0013095_2_11,5.84,,
10-1074,0013095_2_11,5.84,>50,
10-1074,001428_2_42,0.008,,
10-1074,001428_2_42,0.055,,
10-1074,001428_2_42,0.008,,
10-1074,001428_2_42,0.044,,
10-1074,001428_2_42,0.061,0.157,
10-1074,001428_2_42,0.035,0.126,
10-1074,001428_2_42,0.008,,
10-1074,001428_2_42,0.079,0.218,
10-1074,001428_2_42,0.008,0.082,
10-1074,001428_2_42,0.044,0.261,
10-1074,0260_V5_C36,0.13,,
10-1074,0260_V5_C36,0.13,,
10-1074,0260_V5_C36,0.201,,
10-1074,0260_V5_C36,0.13,,
10-1074,0260_V5_C36,0.099,,
10-1074,0260_V5_C36,0.179,0.403,
10-1074,0260_V5_C36,0.13,,
10-1074,0260_V5_C36,0.344,0.938,
10-1074,0260_V5_C36,0.13,0.431,
10-1074,0260_V5_C36,0.099,0.16,
10-1074,0260_V5_C36,0.164,0.593,
10-1074,0260_V5_C36,0.164,,
10-1074,0330_V4_C3,0.01,,
10-1074,0330_V4_C3,0.01,,
10-1074,0330_V4_C3,0.01,,
10-1074,0330_V4_C3,0.054,0.155,
10-1074,0330_V4_C3,0.01,,
10-1074,0330_V4_C3,0.034,0.181,
10-1074,0330_V4_C3,0.01,0.062,
10-1074,0330_V4_C3,0.043,0.122,
10-1074,036_BT_SGA4,0.021,,
10-1074,036_TF_SGA1,0.003,,
10-1074,079_BT_SGA4,0.281,,
10-1074,079_LN_SGA9,0.440,,
10-1074,079_PBMC_SGA12,0.001,,
10-1074,0815_V3_C3,0.008,,
10-1074,0815_V3_C3,0.008,,
10-1074,0815_V3_C3,0.088,,
10-1074,0815_V3_C3,0.008,,
10-1074,0815_V3_C3,0.03,,
10-1074,0815_V3_C3,0.065,0.181,
10-1074,0815_V3_C3,0.043,0.197,
10-1074,0815_V3_C3,0.008,,
